CODIGO,CATEGORIA,DETALLE,P_UNIT,P_CUARTO,P_DOCENA,STOCK,C_PROMO,P_PROMO,COSTO_REAL,MARGEN_UNI
0011583,yambal,Perfume Liberatta  50 ml,118.00,0,0,1,no.png,0.00,0.00,0.00
7909189298174,AVON,Perfume wonder  50 ml,78.00,0,0,1,no.png,0.00,0.00,0.00
0014190,Yambal ,Osadia flor de maracuya  50 ml,95.00,0,0,1,no.png,0.00,0.00,0.00
7908240840765,Natura ,HUMOR PROPIRO,90.00,0,0,2,no.png,0.00,0.00,0.00
7908016618925,Natura,Kriska frutos rojos,118.00,0,0,4,no.png,0.00,0.00,0.00
7908016618918,Natura,Kriska drama 100 ml,111.00,0,0,1,no.png,0.00,0.00,0.00
7909883031268,Natura,KAIAK O2  100 ml,110.00,0,0,4,no.png,0.00,0.00,0.00
7908240839165,Humor ,Frutal  Moderado 75 ml,85.00,0,0,1,no.png,0.00,0.00,0.00
7908371600924,EKOS Natura,ESTORAQUE  150 ml,95.00,0,0,1,no.png,0.00,0.00,0.00
7909883201449,Natura,Tododia Flor de gardenia  200 ml,40.00,0,0,1,no.png,0.00,0.00,0.00
7909883008024,natura,tododia ciruelo y flor de cerezo,45.00,0,0,2,no.png,0.00,0.00,0.00
7908371600894,Nattura EKOS,Castanha dulce leve,90.00,0,0,3,no.png,0.00,0.00,0.00
7908371692622,EKOS,Pitanga Preta frutal leve,80.00,0,0,2,no.png,0.00,0.00,0.00
7908371678282,natura,KAIAK citrus floral,129.00,0,0,9,no.png,0.00,0.00,0.00
7899846036679,Humor,Colonia Cereza en almíbar,70.00,0,0,1,no.png,0.00,0.00,0.00
7908371639023,natura EKOS,CAPITIU  150 ml,90.00,0,0,1,no.png,0.00,0.00,0.00
0013293,Yambal,Gaïa elixir  50 ml,95.00,0,0,1,no.png,0.00,0.00,0.00
0013528,YAMBAL,PERFUME GAÏA,118.00,0,0,1,no.png,0.00,0.00,0.00
7908371625606,Natura,KRISKA Óleo corporal,45.00,0,0,1,no.png,0.00,0.00,0.00
7909883161361,Natura  Tododia,Spray Hidratante,40.00,0,0,1,no.png,0.00,0.00,0.00
7908371600733,EKOS natura,MARACUJÁ  150 ml,95.00,0,0,3,no.png,0.00,0.00,0.00
7909189320684,AVON,Colonia Chypre,25.00,0,0,3,no.png,0.00,0.00,0.00
7909189249312,AVON,Colonia de Jasmin,28.00,0,0,3,no.png,0.00,0.00,0.00
0013393,Yambal,Colonia manzana verde ,45.00,0,0,1,no.png,0.00,0.00,0.00
0013589,Yambal,Colonia Aires del amazonas,38.00,0,0,1,no.png,0.00,0.00,0.00
0013588,Yambal,Colonia aires del Caribe,38.00,0,0,1,no.png,0.00,0.00,0.00
7909189327904,Colonia spray,Maracuya y lima,20.00,0,0,4,no.png,0.00,0.00,0.00
7909189243082,colonia corporal ,Frambuesa y Cassis 200 ml,20.00,0,0,1,no.png,0.00,0.00,0.00
7909189288892,colonia spray,Flores Solares y Pera,20.00,0,0,1,no.png,0.00,0.00,0.00
0013947,Yambal ,Colonia Soy Poderosa,35.00,0,0,1,no.png,0.00,0.00,0.00
